Question	Comment
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More private among the public
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	User friendly apps
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	An app to locate services and directions across the county 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Not everyone can afford the internet.  Provide free free to all elderly and provide resources to teach them 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Affordable housing
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Wifi
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Free internet access 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Internet gratis
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Being protected again still online threats stolen information and information being collected while using the internet 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Affordable internet for family 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	improve internet towers 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Use the latest technology available to make public services more accessible
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"more clarity and faster response
"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	I would like technology to be used to protect the safety of our community 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"To cut time in lines, to allow more business to be done online rather than in person, to educate public and increase participation, to match volunteers with needs, to provide dashboards to track stats and solve problems like public health, water levels and insecurity, food insecurity and access points, animal control, public transportation, school rankings and needs, etc."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	I would like technology to be easily accessible to all people in order for them to find any information they need.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Easier apps to navigate
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Convenience and easy to use applications that have no errors. Apps that are accessible for elderly and people with disabilities will greatly improve the health of the city’s people in the future.  
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Having access to public services in public parks
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More advertisement for programs to help the community 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Help the homeless, share my opinion of NISD, allow voices to be heard, allow freedom of speech, allow freedom of religion"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Track crime
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Idk
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Put more imo
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More free software training for families .
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Much better traffic signals management needed. Most intersections are holding up traffic flow in both directions much longer than needed.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Like things that would improve city services
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Online chats on city websites; better website design 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Create a site that list all public/emergency services by zip code
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Easier scheduling for transportation and services
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Make it friendly. Some of us are technologically challenged. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	User friendly 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Being able to access expanding senior services
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Continue to make information available online
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Low cost internet services
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Make it easier for citizens to have input
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	more education
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	centralized databases for information
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Easier to use with better access to internet connection
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Provide emergency information to all citizens. Snow storm last time left us all in the dark
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Access to what is going on in city and neighborhood 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better safeguards
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Accessible 24/7 - easy to find public facilities such as library or others
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"make it easier to access, never can remember passwords!"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Creat smarter systems for traffic management.

Make ALL services available for complete transactions EASILY online. "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Law enforcement to enforce laws already on the books. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Cameras for the police in the city to use to catch drug trafficking and human trafficking.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Make it easy to access and use.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I would like technology improve response times for police, fire department or other emergency services and make them faster."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Help educate those who do not know how to use phones, emails, computers. As well as helping them sign up for new opportunities."
